name,country,lat,lng
Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
Sepang International Circuit,Malaysia,2.76083,101.738
Bahrain International Circuit,Bahrain,26.0325,50.5106
Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
Istanbul Park,Turkey,40.9517,29.405
Circuit de Monaco,Monaco,43.7347,7.42056
Circuit Gilles Villeneuve,Canada,45.5,-73.5228
Circuit de Nevers Magny-Cours,France,46.8642,3.16361
Silverstone Circuit,UK,52.0786,-1.01694
Hockenheimring,Germany,49.3278,8.56583
Hungaroring,Hungary,47.5789,19.2486
Valencia Street Circuit,Spain,39.4589,-0.331667
Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
Autodromo Nazionale di Monza,Italy,45.6156,9.28111
Marina Bay Street Circuit,Singapore,1.2914,103.864
Fuji Speedway,Japan,35.3717,138.927
Shanghai International Circuit,China,31.3389,121.22
Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
Indianapolis Motor Speedway,USA,39.795,-86.2347
Nürburgring,Germany,50.3356,6.9475
Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
Suzuka Circuit,Japan,34.8431,136.541
Las Vegas Strip Street Circuit,United States,36.1147,-115.173
Yas Marina Circuit,UAE,24.4672,54.6031
Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
Circuito de Jerez,Spain,36.7083,-6.03417
Autódromo do Estoril,Portugal,38.7506,-9.39417
Okayama International Circuit,Japan,34.915,134.221
Adelaide Street Circuit,Australia,-34.9272,138.617
Kyalami,South Africa,-25.9894,28.0767
Donington Park,UK,52.8306,-1.37528
Autódromo Hermanos Rodríguez,Mexico,19.4042,-99.0907
Phoenix street circuit,USA,33.4479,-112.075
Circuit Paul Ricard,France,43.2506,5.79167
Korean International Circuit,Korea,34.7333,126.417
Autódromo Internacional Nelson Piquet,Brazil,-22.9756,-43.395
Detroit Street Circuit,USA,42.3298,-83.0401
Brands Hatch,UK,51.3569,0.263056
Circuit Park Zandvoort,Netherlands,52.3888,4.54092
Zolder,Belgium,50.9894,5.25694
Dijon-Prenois,France,47.3625,4.89913
Fair Park,USA,32.7774,-96.7587
Long Beach,USA,33.7651,-118.189
Las Vegas Street Circuit,USA,36.1162,-115.174
Jarama,Spain,40.6171,-3.58558
Watkins Glen,USA,42.3369,-76.9272
Scandinavian Raceway,Sweden,57.2653,13.6042
Mosport International Raceway,Canada,44.0481,-78.6756
Montjuïc,Spain,41.3664,2.15167
Nivelles-Baulers,Belgium,50.6211,4.32694
Charade Circuit,France,45.7472,3.03889
Circuit Mont-Tremblant,Canada,46.1877,-74.6099
Rouen-Les-Essarts,France,49.3306,1.00458
Le Mans,France,47.95,0.224231
Reims-Gueux,France,49.2542,3.93083
Prince George Circuit,South Africa,-33.0486,27.8736
Zeltweg,Austria,47.2039,14.7478
Aintree,UK,53.4769,-2.94056
Circuito da Boavista,Portugal,41.1705,-8.67325
Riverside International Raceway,USA,33.937,-117.273
AVUS,Germany,52.4806,13.2514
Monsanto Park Circuit,Portugal,38.7197,-9.20306
Sebring International Raceway,USA,27.4547,-81.3483
Ain Diab,Morocco,33.5786,-7.6875
Pescara Circuit,Italy,42.475,14.1508
Circuit Bremgarten,Switzerland,46.9589,7.40194
Circuit de Pedralbes,Spain,41.3903,2.11667
Buddh International Circuit,India,28.3487,77.5331
Circuit of the Americas,USA,30.1328,-97.6411
Red Bull Ring,Austria,47.2197,14.7647
Sochi Autodrom,Russia,43.4057,39.9578
Baku City Circuit,Azerbaijan,40.3725,49.8533
Autódromo Internacional do Algarve,Portugal,37.227,-8.6267
Autodromo Internazionale del Mugello,Italy,43.9975,11.3719
Jeddah Corniche Circuit,Saudi Arabia,21.6319,39.1044
Losail International Circuit,Qatar,25.49,51.4542
Miami International Autodrome,USA,25.9581,-80.2389